numero_proceso,expediente,nombre_proceso,tipo_proceso,fecha_apertura,estado,unidad_ejecutora,saf,scraped_at
79-0027-LPR22,EX-2022-125718464-   -APN-DCYS#JGM,Servicio de guardería de vehículos para la flota automotor de la JEFATURA DE GABINETE DE MINISTROS,Licitación Privada,01/02/2023 09:00 Hrs.,Dejado Sin Efecto,79/000 - Dirección General Técnico - Administrativa - JGM,305 - Jefatura de Gabinete de Ministros,2026-05-04T08:24:40.283031
79-0028-CDI23,EX-2023-25842025-   -APN-DCYS#JGM,Convenio entre la UNIVERSIDAD NACIONAL DE QUILMES y la SECRETARÍA DE GESTIÓN Y EMPLEO PÚBLICO,Contratación Directa,27/04/2023 10:00 Hrs.,Adjudicado,79/000 - Dirección General Técnico - Administrativa - JGM,305 - Jefatura de Gabinete de Ministros,2026-05-04T08:24:40.283031
79-0028-LPR24,EX-2024-112275257-   -APN-DCYC#JGM,"SISTEMA DE CONTROL DE TIEMPO Y ASISTENCIA, CONTROL DE ACCESOS Y CONTROL DE VISITAS",Licitación Privada,16/12/2024 09:00 Hrs.,Dejado Sin Efecto,79/000 - Dirección General Técnico - Administrativa - JGM,305 - Jefatura de Gabinete de Ministros,2026-05-04T08:24:40.283031
79-0029-CDI23,EX-2023-25930984-   -APN-DCYS#JGM,Convenio Interadministrativo entre la UEET Argentina Futura y EUDEBA S.E.M.,Contratación Directa,12/04/2023 12:00 Hrs.,Adjudicado,79/000 - Dirección General Técnico - Administrativa - JGM,305 - Jefatura de Gabinete de Ministros,2026-05-04T08:24:40.283031
79-0030-CDI23,EX-2023-29709487-   -APN-DCYS#JGM,Convenio entre la UNIVERSIDAD NACIONAL DE AVELLANEDA y la SECRETARÍA DE GESTIÓN Y EMPLEO PÚBLICO,Contratación Directa,05/05/2023 11:00 Hrs.,Adjudicado,79/000 - Dirección General Técnico - Administrativa - JGM,305 - Jefatura de Gabinete de Ministros,2026-05-04T08:24:40.283031
79-0030-LPR22,EX-2022-138222066-   -APN-DCYS#JGM,Servicio de guardería de vehículos para la flota automotor de la JEFATURA DE GABINETE DE MINISTROS,Licitación Privada,18/01/2023 09:00 Hrs.,Dejado Sin Efecto,79/000 - Dirección General Técnico - Administrativa - JGM,305 - Jefatura de Gabinete de Ministros,2026-05-04T08:24:40.283031
79-0030-LPR24,EX-2024-119956139-   -APN-DCYC#JGM,Solicitud de adquisición de desfibriladores externos automáticos,Licitación Privada,22/11/2024 11:00 Hrs.,Adjudicado,79/000 - Dirección General Técnico - Administrativa - JGM,305 - Jefatura de Gabinete de Ministros,2026-05-04T08:24:40.283031
79-0031-CDI23,EX-2023-34533092-   -APN-DCYS#JGM,Adquisición de elementos para evento INJUVE,Contratación Directa,13/04/2023 09:00 Hrs.,Dejado Sin Efecto,79/000 - Dirección General Técnico - Administrativa - JGM,305 - Jefatura de Gabinete de Ministros,2026-05-04T08:24:40.283031
79-0032-CDI23,EX-2023-36273268-   -APN-DCYS#JGM,Convenio Específico entre la UEETAF y la UNPAZ,Contratación Directa,12/06/2023 09:00 Hrs.,Adjudicado,79/000 - Dirección General Técnico - Administrativa - JGM,305 - Jefatura de Gabinete de Ministros,2026-05-04T08:24:40.283031
79-0033-CDI23,EX-2023-36290004-   -APN-DCYS#JGM,Contratación de FUNSAM para la realización de un estudio de investigación,Contratación Directa,28/04/2023 10:00 Hrs.,Adjudicado,79/000 - Dirección General Técnico - Administrativa - JGM,305 - Jefatura de Gabinete de Ministros,2026-05-04T08:24:40.283031
79-0033-LPR24,EX-2024-88186907-   -APN-DCYC#JGM,Adquisición de Licencias de Software Adobe,Licitación Privada,04/12/2024 10:00 Hrs.,En Apertura,79/000 - Dirección General Técnico - Administrativa - JGM,305 - Jefatura de Gabinete de Ministros,2026-05-04T08:24:40.283031
79-0034-CDI23,EX-2023-36815258-   -APN-DCYS#JGM,Servicio de mantenimiento preventivo y correctivo del sistema de detección y extinción de incendios,Contratación Directa,28/04/2023 09:00 Hrs.,Adjudicado,79/000 - Dirección General Técnico - Administrativa - JGM,305 - Jefatura de Gabinete de Ministros,2026-05-04T08:24:40.283031
79-0035-CDI23,EX-2023-11308221-   -APN-DCYS#JGM,Convenio entre la UNIVERSIDAD NACIONAL DE CUYO y la SECRETARÍA DE GESTIÓN Y EMPLEO PÚBLICO,Contratación Directa,12/04/2023 11:00 Hrs.,Adjudicado,79/000 - Dirección General Técnico - Administrativa - JGM,305 - Jefatura de Gabinete de Ministros,2026-05-04T08:24:40.283031
79-0036-CDI23,EX-2023-11361953-   -APN-DCYS#JGM,Convenio entre UNIVERSIDAD NACIONAL RAÚL SCALABRINI ORTIZ / SECRETARÍA DE GESTIÓN Y EMPLEO PÚBLICO,Contratación Directa,11/04/2023 11:00 Hrs.,Adjudicado,79/000 - Dirección General Técnico - Administrativa - JGM,305 - Jefatura de Gabinete de Ministros,2026-05-04T08:24:40.283031
79-0037-CDI23,EX-2023-19635870-   -APN-DCYS#JGM,Convenio entre la UNIVERSIDAD NACIONAL DE SANTIAGO DEL ESTERO y la SECRETARÍA DE GESTIÓN Y EMPLEO,Contratación Directa,11/04/2023 09:00 Hrs.,Adjudicado,79/000 - Dirección General Técnico - Administrativa - JGM,305 - Jefatura de Gabinete de Ministros,2026-05-04T08:24:40.283031
79-0038-CDI23,EX-2023-19935987-   -APN-DCYS#JGM,Convenio entre la UNIVERSIDAD NACIONAL DEL CHACO AUSTRAL y la SECRETARÍA DE GESTIÓN Y EMPLEO PÚBLICO,Contratación Directa,12/04/2023 11:00 Hrs.,Adjudicado,79/000 - Dirección General Técnico - Administrativa - JGM,305 - Jefatura de Gabinete de Ministros,2026-05-04T08:24:40.283031
