numero_proceso,expediente,nombre_proceso,tipo_proceso,fecha_apertura,estado,unidad_ejecutora,saf,scraped_at
23-0006-LPU25,EX-2025-44813362-   -APN-CGD#SGP,"Serv desratización, desinsectación, desinfección, control de aves y murciélagos y fumigación SGP",Licitación Pública,07/08/2025 13:00 Hrs.,Adjudicado,23/000 - Dirección General de Administración - SG,301 - Secretaria General de la Presidencia de la Nación,2026-07-06T10:08:46.889244
23-0006-LPU26,EX-2026-23260480-   -APN-CGD#SGP,Servicio de provisión de repuestos y mantenim. mensual de sistemas completos de salas de bombas -SGP,Licitación Pública,17/04/2026 12:00 Hrs.,Adjudicado,23/000 - Dirección General de Administración - SG,301 - Secretaria General de la Presidencia de la Nación,2026-07-06T10:08:46.889244
23-0007-CDI23,EX-2023-21191171-   -APN-CGD#SGP,Convenio interadministrativo entre la SECRETARIA GENERAL e YPF S.A. sobre YPF ENRUTA,Contratación Directa,23/03/2023 12:00 Hrs.,Disponible Para Adjudicar,23/000 - Dirección General de Administración - SG,301 - Secretaria General de la Presidencia de la Nación,2026-07-06T10:08:46.889244
23-0007-CDI25,EX-2025-47078610-   -APN-CGD#SGP,Adquisición de máquinas de jardinería para la RESIDENCIA PRESIDENCIAL DE CHAPADMALAL.,Contratación Directa,14/07/2025 12:00 Hrs.,Adjudicado,23/000 - Dirección General de Administración - SG,301 - Secretaria General de la Presidencia de la Nación,2026-07-06T10:08:46.889244
23-0007-LPR23,EX-2023-38972075-   -APN-CGD#SGP,Adquisición de pintura para exposiciones para la Dir.de Programas Culturales y Museo Casa Rosada,Licitación Privada,02/06/2023 15:30 Hrs.,Dejado Sin Efecto,23/000 - Dirección General de Administración - SG,301 - Secretaria General de la Presidencia de la Nación,2026-07-06T10:08:46.889244
23-0007-LPR24,EX-2024-87419001-   -APN-CGD#SGP,"Serv. mant. integral, preventivo y correctivo de bombas, pozos de bombeo y elevadores de Agua - SGP",Licitación Privada,20/11/2024 12:00 Hrs.,Adjudicado,23/000 - Dirección General de Administración - SG,301 - Secretaria General de la Presidencia de la Nación,2026-07-06T10:08:46.889244
23-0007-LPR25,EX-2025-98232629-   -APN-CGD#SGP,Adquisición de indumentaria y elementos de protección personal con destino al personal SEC. GRAL,Licitación Privada,29/12/2025 12:00 Hrs.,Adjudicado,23/000 - Dirección General de Administración - SG,301 - Secretaria General de la Presidencia de la Nación,2026-07-06T10:08:46.889244
23-0007-LPR26,EX-2026-52460065-   -APN-CGD#SGP,Provisión de frutas y verduras con destino a la Residencia Presidencial de Olivos,Licitación Privada,01/07/2026 10:00 Hrs.,En Apertura,23/000 - Dirección General de Administración - SG,301 - Secretaria General de la Presidencia de la Nación,2026-07-06T10:08:46.889244
23-0007-LPU24,EX-2024-53499225-   -APN-CGD#SGP,Servicio de alquiler de módulos de vallas metálicas,Licitación Pública,17/09/2024 12:00 Hrs.,Adjudicado,23/000 - Dirección General de Administración - SG,301 - Secretaria General de la Presidencia de la Nación,2026-07-06T10:08:46.889244
23-0007-LPU25,EX-2025-50885961-   -APN-CGD#SGP,Seguro Flota Automotor SGP,Licitación Pública,25/11/2025 12:00 Hrs.,Dejado Sin Efecto,23/000 - Dirección General de Administración - SG,301 - Secretaria General de la Presidencia de la Nación,2026-07-06T10:08:46.889244
23-0007-LPU26,EX-2026-25240339-   -APN-CGD#SGP,SERVICIOS GRÁFICOS para la DIRECCIÓN DE PROGRAMAS CULTURALES Y MUSEO CASA ROSADA.,Licitación Pública,24/04/2026 12:00 Hrs.,Adjudicado,23/000 - Dirección General de Administración - SG,301 - Secretaria General de la Presidencia de la Nación,2026-07-06T10:08:46.889244
23-0008-CDI23,EX-2023-22288448-   -APN-CGD#SGP,Servicio de alojamiento para los/as Consejeros/as del CONSEJO ECONÓMICO Y SOCIAL,Contratación Directa,08/05/2023 12:00 Hrs.,Dejado Sin Efecto,23/000 - Dirección General de Administración - SG,301 - Secretaria General de la Presidencia de la Nación,2026-07-06T10:08:46.889244
23-0008-CDI24,EX-2024-33388844-   -APN-CGD#SGP,Seguro Coches Antiguos: Coche Calesa y Coche Landó.,Contratación Directa,04/07/2024 12:00 Hrs.,Adjudicado,23/000 - Dirección General de Administración - SG,301 - Secretaria General de la Presidencia de la Nación,2026-07-06T10:08:46.889244
23-0008-CDI25,EX-2025-47985538-   -APN-CGD#SGP,Adquisición de materiales de construcción y reparaciones RESIDENCIA PRESIDENCIAL DE CHAPADMALAL,Contratación Directa,25/06/2025 12:00 Hrs.,Adjudicado,23/000 - Dirección General de Administración - SG,301 - Secretaria General de la Presidencia de la Nación,2026-07-06T10:08:46.889244
23-0008-LPR23,EX-2023-58227017-   -APN-CGD#SGP,Servicio de alojamiento para los/as Consejeros/as del CONSEJO ECONÓMICO Y SOCIAL,Licitación Privada,25/07/2023 13:00 Hrs.,Dejado Sin Efecto,23/000 - Dirección General de Administración - SG,301 - Secretaria General de la Presidencia de la Nación,2026-07-06T10:08:46.889244
23-0008-LPR24,EX-2024-91339207-   -APN-CGD#SGP,"Serv mensual de reparación, mantenimiento y provision de combustible grupos electrógenos SEC GRAL",Licitación Privada,19/11/2024 12:00 Hrs.,Adjudicado,23/000 - Dirección General de Administración - SG,301 - Secretaria General de la Presidencia de la Nación,2026-07-06T10:08:46.889244
23-0008-LPR25,EX-2025-98684484-   -APN-CGD#SGP,Adquisición de artículos de blanquería para las Residencias de Olivos y Chapadmalal,Licitación Privada,14/11/2025 12:00 Hrs.,Adjudicado,23/000 - Dirección General de Administración - SG,301 - Secretaria General de la Presidencia de la Nación,2026-07-06T10:08:46.889244
23-0008-LPU23,EX-2023-16530612-   -APN-CGD#SGP,Contratación servicio de mantenimiento preventivo y correctivo de ascensores destinado a R.P. Olivos,Licitación Pública,11/04/2023 12:00 Hrs.,Adjudicado,23/000 - Dirección General de Administración - SG,301 - Secretaria General de la Presidencia de la Nación,2026-07-06T10:08:46.889244
23-0008-LPU24,EX-2024-55297177-   -APN-CGD#SGP,"Adquisición de BEBIDAS con destino a CASA DE GOBIERNO, RP de OLIVOS y RP DE CHAPADMALAL",Licitación Pública,15/08/2024 12:00 Hrs.,Adjudicado,23/000 - Dirección General de Administración - SG,301 - Secretaria General de la Presidencia de la Nación,2026-07-06T10:08:46.889244
23-0008-LPU25,EX-2025-56238737-   -APN-CGD#SGP,Seguros para las dependencias de la Secretaría General,Licitación Pública,28/11/2025 12:00 Hrs.,Dejado Sin Efecto,23/000 - Dirección General de Administración - SG,301 - Secretaria General de la Presidencia de la Nación,2026-07-06T10:08:46.889244
23-0008-LPU26,EX-2026-28769437-   -APN-CGD#SGP,Servicio de limpieza integral destinado a edificios de la Secretaría Gral. de la Pres. de la Nac.,Licitación Pública,08/05/2026 12:00 Hrs.,Disponible Para Adjudicar,23/000 - Dirección General de Administración - SG,301 - Secretaria General de la Presidencia de la Nación,2026-07-06T10:08:46.889244
23-0009-CDI23,EX-2023-22716494-   -APN-CGD#SGP,Adquisicion de presentes protocolares y distintivos para el personal de Casa Militar,Contratación Directa,10/05/2023 12:00 Hrs.,Adjudicado,23/000 - Dirección General de Administración - SG,301 - Secretaria General de la Presidencia de la Nación,2026-07-06T10:08:46.889244
23-0009-CDI24,EX-2024-34184601-   -APN-CGD#SGP,Seguros para aeronaves afectadas a la Flota Aérea de la Presidencia de la Nación,Contratación Directa,26/06/2024 12:00 Hrs.,Adjudicado,23/000 - Dirección General de Administración - SG,301 - Secretaria General de la Presidencia de la Nación,2026-07-06T10:08:46.889244
23-0009-CDI25,EX-2025-55299665-   -APN-CGD#SGP,Adquisición de electrodomésticos p/ organismos de Secretaría General de la Presidencia de la Nación,Contratación Directa,25/09/2025 12:00 Hrs.,Adjudicado,23/000 - Dirección General de Administración - SG,301 - Secretaria General de la Presidencia de la Nación,2026-07-06T10:08:46.889244
23-0009-LPR23,EX-2023-67162125-   -APN-CGD#SGP,Servicio de iluminación y de sonido y alquiler de baños portátiles para la “Noche de los Museos”,Licitación Privada,14/07/2023 12:30 Hrs.,Adjudicado,23/000 - Dirección General de Administración - SG,301 - Secretaria General de la Presidencia de la Nación,2026-07-06T10:08:46.889244
23-0009-LPR24,EX-2024-99519149-   -APN-CGD#SGP,Adquisición de 15 SWITCHES de BORDE para la infraestructura de Red de Datos de la PN.,Licitación Privada,15/01/2025 12:00 Hrs.,Adjudicado,23/000 - Dirección General de Administración - SG,301 - Secretaria General de la Presidencia de la Nación,2026-07-06T10:08:46.889244
23-0009-LPR25,EX-2025-105325754-   -APN-CGD#SGP,Adquisición de materiales de pintura destinados a las dependencias de la SGP.,Licitación Privada,17/11/2025 12:00 Hrs.,Adjudicado,23/000 - Dirección General de Administración - SG,301 - Secretaria General de la Presidencia de la Nación,2026-07-06T10:08:46.889244
23-0009-LPU23,EX-2023-22714933-   -APN-CGD#SGP,Adquisición de bebidas con destino a la Residencia Presidencial de Olivos,Licitación Pública,14/04/2023 12:00 Hrs.,Adjudicado,23/000 - Dirección General de Administración - SG,301 - Secretaria General de la Presidencia de la Nación,2026-07-06T10:08:46.889244
23-0009-LPU25,EX-2025-58655721-   -APN-CGD#SGP,"Seguros Colección, Obras de Arte y Bustos para el Museo",Licitación Pública,06/08/2025 12:00 Hrs.,Adjudicado,23/000 - Dirección General de Administración - SG,301 - Secretaria General de la Presidencia de la Nación,2026-07-06T10:08:46.889244
23-0009-LPU26,EX-2026-37586299-   -APN-CGD#SGP,Servicio de ajustes y mantenimiento integral de ascensores de edificios de SGP,Licitación Pública,27/05/2026 12:00 Hrs.,Fracasado,23/000 - Dirección General de Administración - SG,301 - Secretaria General de la Presidencia de la Nación,2026-07-06T10:08:46.889244
